Frame,Box0,Box1,Box2,Box3,Box4,Box5,Box6,Box7
0,8,7,6,4,7,7,6,6
1,8,7,7,5,7,6,6,5
2,8,6,5,5,6,7,7,5
3,9,6,5,6,5,6,6,6
4,8,6,6,5,8,5,6,6
5,7,6,6,6,8,6,7,5
6,7,7,5,4,7,6,7,5
7,7,7,6,4,6,8,7,6
8,8,6,6,5,5,6,6,5
9,9,6,6,6,6,5,6,4
10,9,6,6,6,6,7,7,5
11,9,7,6,6,7,7,7,5
12,8,7,7,5,7,7,7,8
13,7,7,6,6,5,6,6,6
14,7,6,7,6,5,6,6,6
15,9,6,7,6,4,7,6,5
16,8,6,6,5,5,7,7,6
17,7,7,6,5,6,7,7,5
18,7,7,6,5,4,6,7,6
19,7,7,6,5,5,6,7,6
20,7,7,5,5,5,6,6,6
21,7,7,5,6,5,6,6,5
22,7,7,6,5,5,7,7,6
23,8,6,5,5,6,7,7,6
24,7,6,5,5,5,6,7,7
25,7,6,5,6,5,6,6,6
26,7,6,5,5,6,7,6,5
27,8,6,5,5,6,7,6,6
28,7,5,5,5,6,8,4,6
29,8,6,5,4,7,5,4,4
30,7,6,5,4,5,5,5,5
31,7,6,5,4,6,5,5,5
32,8,6,5,5,6,6,4,5
33,8,6,5,5,6,7,4,6
34,8,7,5,5,7,8,4,5
35,8,5,5,5,7,6,3,6
36,8,7,5,5,7,4,4,6
37,8,6,5,5,7,5,5,4
38,8,6,5,4,7,5,5,7
39,8,6,6,4,6,6,4,6
40,7,6,5,4,5,7,4,6
41,7,7,5,4,6,8,4,5
42,9,6,5,4,6,7,4,6
43,9,6,6,5,5,7,4,6
44,9,7,5,4,6,6,4,6
45,7,6,5,4,7,6,4,6
46,8,6,6,4,7,6,4,8
47,8,5,5,5,7,7,4,6
48,7,6,5,4,8,7,4,5
49,8,6,6,4,8,7,4,5
